Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSearchStatus,LastNewJob,AssessBenefits11,Salary,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,FrameworkWorkedWith,IDE,OperatingSystem,NumberMonitors,AdBlocker,AdsAgreeDisagree2,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember
66561,Yes,No,Japan,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer,18-20 years,12-14 years,I am actively looking for a job,Less than a year ago,9.0,,,,,,,MacOS,1,Yes,Somewhat agree,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",10 (Very Likely),I'm not sure
66720,Yes,No,Japan,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",20 to 99 employees,Back-end developer;System administrator,6-8 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,3.0,375000,Clojure;Ruby;SQL;Bash/Shell,MySQL,AWS;Linux,,Atom;Emacs,Linux-based,2,Yes,Strongly agree,7,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Yes,"No, and I don't know what that is",0 (Not Likely),No
66730,Yes,No,China,"Yes, full-time",Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",20 to 99 employees,QA or test developer,3-5 years,0-2 years,I am actively looking for a job,Between 1 and 2 years ago,2.0,,,,,,,,,,,,,,,,,,
66816,Yes,Yes,Japan,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist,6-8 years,3-5 years,I am actively looking for a job,Between 2 and 4 years ago,11.0,400000,JavaScript;Python,Redis;MySQL;Apache Hive,AWS;Azure;Linux;Mac OS;Salesforce,Django,IntelliJ;IPython / Jupyter;Sublime Text;Vim,Linux-based,2,Yes,Somewhat disagree,9,A few times per week,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,I'm not sure
66870,Yes,No,Japan,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Front-end developer;Full-stack developer,6-8 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,4.0,240000,JavaScript;PHP;Ruby;HTML;CSS,MySQL,AWS;Heroku;WordPress;Firebase,React,Atom;Vim,Linux-based,2,Yes,Neither agree nor disagree,10 (Very Likely),A few times per week,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",5,I'm not sure
66955,Yes,No,China,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",500 to 999 employees,Mobile developer,3-5 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,,,,,,,,,,,,,,,,,,,
66972,Yes,No,Singapore,No,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,"5,000 to 9,999 employees",Back-end developer;DevOps specialist,27-29 years,15-17 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,4.0,,,,,,,,,,,,,,,,,,
67012,Yes,Yes,China,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Front-end developer,0-2 years,,,,,,,,,,,,,,,,,,,,,,
67051,Yes,No,China,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Full-stack developer,3-5 years,,,,,,Java,MySQL,Linux,,,,,,,,,,,,,,
67076,Yes,Yes,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,DevOps specialist,9-11 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,7.0,50000,C;C++;Groovy;Java;JavaScript;PHP;Python;SQL;Bash/Shell,Cassandra;MongoDB;Redis;MySQL;MariaDB;Memcached;Amazon RDS/Aurora,Android;AWS;Google Cloud Platform/App Engine;Linux;Raspberry Pi;Serverless,Django;Node.js;Spark,Notepad++;Vim;Visual Studio Code,Windows,2,Yes,Somewhat agree,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",7,No
67102,Yes,Yes,China,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",100 to 499 employees,Back-end developer;Database administrator;Full-stack developer;Product manager;System administrator,9-11 years,,,,,,C++;Java;JavaScript;Python;SQL;Kotlin,Redis;SQL Server;MySQL;Oracle;Neo4j,,,,,,,,,,,,,,,
67129,Yes,No,China,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Front-end developer,18-20 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,5.0,24000,Objective-C;Swift,Redis;PostgreSQL;SQLite,iOS,,Sublime Text;Xcode,MacOS,2,No,Strongly agree,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,No
67252,Yes,No,China,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Information systems, information technology, or system administration",100 to 499 employees,Designer;Embedded applications or devices developer,3-5 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,3.0,,Assembly;C;C++;JavaScript;Matlab;Python;SQL;HTML;CSS,SQL Server,Windows Desktop or Server,,PyCharm,Windows,2,I'm not sure/I don't know,Somewhat agree,10 (Very Likely),A few times per week,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I have one but it's out of date",,Yes
67433,No,No,Japan,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Desktop or enterprise applications developer;Front-end developer,12-14 years,9-11 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,8.0,330000,Java;JavaScript;HTML;CSS,MongoDB;Amazon DynamoDB;Elasticsearch,Android;AWS;iOS;Windows Desktop or Server,Node.js;React,IntelliJ,Windows,1,No,Neither agree nor disagree,10 (Very Likely),A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Yes,Yes,7,No
67485,Yes,No,China,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",500 to 999 employees,Mobile developer,6-8 years,3-5 years,I am actively looking for a job,Less than a year ago,,,,,,,,,,,,10 (Very Likely),A few times per month or weekly,No,,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",,,I'm not sure
67552,No,No,South Korea,No,Employed full-time,Some college/university study without earning a degree,"Another engineering discipline (ex. civil, electrical, mechanical)",10 to 19 employees,Designer;Front-end developer;Mobile developer;Product manager,21-23 years,21-23 years,I am actively looking for a job,More than 4 years ago,,,Delphi/Object Pascal,MySQL;SQLite,Android;Arduino;Google Cloud Platform/App Engine;Windows Desktop or Server;WordPress,,,Windows,1,,,,,,,,,,
67566,Yes,Yes,China,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Information systems, information technology, or system administration",20 to 99 employees,Data scientist or machine learning specialist,6-8 years,,,,,,C;Python;SQL;Visual Basic 6;Bash/Shell,SQL Server;MySQL,Linux,TensorFlow;Torch/PyTorch,IPython / Jupyter;Vim,Linux-based,2,No,Somewhat agree,,,,,,,,
67635,Yes,No,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Back-end developer;Embedded applications or devices developer;Front-end developer;Full-stack developer,3-5 years,3-5 years,I am actively looking for a job,Less than a year ago,5.0,70000,Assembly;C;Java;JavaScript;Matlab;PHP;Python;SQL;HTML;CSS,MongoDB;MariaDB;Neo4j;Elasticsearch,AWS;Linux;Windows Desktop or Server,Angular;Node.js,IntelliJ;IPython / Jupyter;Sublime Text;Vim;Visual Studio Code,Windows,2,No,Somewhat agree,10 (Very Likely),Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",,I'm not sure
67730,Yes,No,South Korea,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",100 to 499 employees,Back-end developer,6-8 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,3.0,,Java;Scala,Redis;MySQL;Apache Hive,Linux,Spring,Atom;IntelliJ;Sublime Text,MacOS,3,No,Somewhat agree,9,Multiple times per day,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",5,I'm not sure
67757,Yes,Yes,Singapore,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,"10,000 or more employees",Back-end developer;Data or business analyst;Educator or academic researcher;Product manager,18-20 years,6-8 years,I am not interested in new job opportunities,More than 4 years ago,6.0,5000,,,,,,,,,,10 (Very Likely),A few times per week,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes
67841,Yes,Yes,China,No,Employed full-time,"Professional degree (JD, MD, etc.)","A natural science (ex. biology, chemistry, physics)",500 to 999 employees,Educator or academic researcher,3-5 years,3-5 years,I am not interested in new job opportunities,Less than a year ago,,14000,Assembly,,,,,,3,Yes,Somewhat disagree,10 (Very Likely),A few times per week,Yes,,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",,Yes
67969,Yes,Yes,China,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Desktop or enterprise applications developer;Game or graphics developer;Mobile developer,3-5 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,,,,,,,,,,,,,,,,,,,
67972,No,Yes,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Front-end developer;Full-stack developer;Product manager,6-8 years,,,,,,,,,,,,,,,,,,,,,,
67988,Yes,Yes,Japan,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","5,000 to 9,999 employees",Back-end developer;Front-end developer;QA or test developer,9-11 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,10.0,,C#;JavaScript;Ruby;HTML;CSS;Bash/Shell,MongoDB,Heroku;Linux;Mac OS,Node.js,Visual Studio Code,MacOS,3,Yes,Somewhat agree,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,Yes
68003,Yes,No,China,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Fine arts or performing arts (ex. graphic design, music, studio art)","10,000 or more employees",Full-stack developer,0-2 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,,,,,,,,,,,,,,,,,,,
68048,Yes,No,China,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Embedded applications or devices developer,0-2 years,0-2 years,I am actively looking for a job,Less than a year ago,,7000,Python,MySQL,Heroku;Linux;Raspberry Pi,,IPython / Jupyter;Vim,Linux-based,1,Yes,Somewhat agree,10 (Very Likely),A few times per week,No,,"No, I didn't know that Stack Overflow had a jobs board",,,Yes
68218,Yes,Yes,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",100 to 499 employees,Data scientist or machine learning specialist,9-11 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,8.0,,,,,,,,,,,10 (Very Likely),Daily or almost daily,Yes,A few times per month or weekly,Yes,"No, and I don't know what that is",6,Yes
68289,No,No,China,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Desktop or enterprise applications developer;Full-stack developer,15-17 years,15-17 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,,,,,,,,,,,,,,,,,,,
68402,Yes,No,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Full-stack developer;Mobile developer,3-5 years,,,,,,Assembly;C;C++;Java;JavaScript;PHP;SQL;Swift;HTML;CSS,SQL Server;MySQL;SQLite;Oracle;Apache HBase,Android;Arduino;AWS;Azure;Raspberry Pi;Windows Desktop or Server;Firebase,.NET Core;Spring,Android Studio;Eclipse;IntelliJ;NetBeans;Notepad++;Visual Studio;Xcode,Windows,2,Yes,Strongly agree,,,,,,,,
68556,Yes,No,China,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","1,000 to 4,999 employees",Embedded applications or devices developer,3-5 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,3.0,7000,C;Bash/Shell,MySQL,AWS;Linux;WordPress,TensorFlow,Vim;Visual Studio;Visual Studio Code;Xcode,,1,Yes,Somewhat agree,10 (Very Likely),A few times per month or weekly,Yes,Less than once per month or monthly,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",,Yes
68789,No,Yes,Japan,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",20 to 99 employees,Back-end developer;Data or business analyst;Database administrator;DevOps specialist,6-8 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,4.0,4360000,C;C++;Go;Java;JavaScript;Matlab;PHP;Swift;VBA;HTML,MongoDB;Redis;MySQL;PostgreSQL;SQLite;MariaDB;Memcached;Amazon RDS/Aurora,AWS;Google Cloud Platform/App Engine;iOS;Linux;Mac OS;WordPress;Firebase,Node.js,IntelliJ;Notepad++;Sublime Text;Vim;Visual Studio Code,Linux-based,2,No,Somewhat disagree,9,Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",6,I'm not sure
68824,No,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,"10,000 or more employees",Back-end developer;Database administrator;Desktop or enterprise applications developer;Front-end developer;System administrator,6-8 years,3-5 years,I am not interested in new job opportunities,Between 2 and 4 years ago,,,,,,,,,,,,,,,,,,,
68874,Yes,Yes,Japan,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Back-end developer;Desktop or enterprise applications developer;DevOps specialist,27-29 years,15-17 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,6.0,,C;Go;Groovy;Java;JavaScript;Perl;Python;SQL;Bash/Shell,MySQL;PostgreSQL;SQLite;Oracle,Linux;Windows Desktop or Server,Node.js,IntelliJ;PyCharm;Sublime Text,Windows,4,Yes,Strongly agree,10 (Very Likely),A few times per week,Yes,Less than once per month or monthly,Yes,"No, I know what it is but I don't have one",3,No
68921,No,Yes,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Front-end developer;Full-stack developer,24-26 years,12-14 years,I am not interested in new job opportunities,Less than a year ago,8.0,8250,Groovy;Java;JavaScript;Python;TypeScript;HTML;CSS;Bash/Shell,MongoDB;PostgreSQL,,Angular;Node.js;React,Sublime Text;Vim;Visual Studio Code,Linux-based,3,Yes,Strongly agree,10 (Very Likely),Multiple times per day,Yes,Daily or almost daily,Yes,"No, I have one but it's out of date",6,Yes
68983,No,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",20 to 99 employees,Full-stack developer,6-8 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,,,C#;JavaScript;SQL;VB.NET;HTML;CSS,SQL Server,Windows Desktop or Server,Spring,Visual Studio,Windows,2,No,Somewhat agree,6,A few times per week,Yes,A few times per week,Yes,"No, I know what it is but I don't have one",4,Yes
69130,Yes,No,Japan,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Embedded applications or devices developer,12-14 years,9-11 years,I am not interested in new job opportunities,Less than a year ago,11.0,5000000,Assembly;C;C++;C#;Java;Matlab;R;Bash/Shell,,,.NET Core,Eclipse;Sublime Text;Vim;Visual Studio,Linux-based,2,Yes,Neither agree nor disagree,10 (Very Likely),Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",,I'm not sure
69394,Yes,No,Japan,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",100 to 499 employees,Front-end developer,0-2 years,0-2 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,,,,,,,,,,,,,,,,,,,
69537,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",Fewer than 10 employees,Back-end developer;Front-end developer;Full-stack developer,6-8 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,9.0,7700,JavaScript;TypeScript;HTML;CSS,,Mac OS,Angular,Visual Studio Code,MacOS,1,No,Neither agree nor disagree,10 (Very Likely),Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Yes,"No, I have one but it's out of date",10 (Very Likely),I'm not sure
69539,No,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Full-stack developer,12-14 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,2.0,71500,Go;Groovy;Java;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,MongoDB;Redis;MySQL;PostgreSQL;Oracle;MariaDB,Linux;Mac OS;Windows Desktop or Server,Node.js;Spring,IntelliJ;Visual Studio Code,MacOS,2,Yes,Strongly agree,10 (Very Likely),Multiple times per day,No,,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",,,Yes
69625,Yes,No,China,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer,0-2 years,,,,,,,,,,,,,,,2,Daily or almost daily,Yes,,,,,
69789,No,No,Japan,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Full-stack developer,3-5 years,,,,,,C#;JavaScript;Scala;TypeScript,"Cassandra;SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",Azure;Windows Desktop or Server,.NET Core;Hadoop;React,IntelliJ;Visual Studio;Visual Studio Code,Windows,3,Yes,Somewhat disagree,,,,,,,,
69913,Yes,No,Japan,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Front-end developer;Full-stack developer;Mobile developer;QA or test developer,6-8 years,3-5 years,I am not interested in new job opportunities,More than 4 years ago,8.0,250000,C;C++;C#;Java;JavaScript;Objective-C;PHP;SQL;HTML;CSS,SQL Server;MySQL;SQLite,Android;iOS,Spring,Eclipse;NetBeans;Notepad++;Xcode,Windows,2,No,Strongly agree,10 (Very Likely),A few times per week,Yes,A few times per week,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",,Yes
69936,No,No,China,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Mobile developer,9-11 years,9-11 years,,,,,C;C++;Java;Swift,SQLite,Android,,Android Studio;Vim;Xcode,MacOS,1,No,Somewhat agree,,,,,,,,
69945,Yes,Yes,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",,100 to 499 employees,Data or business analyst;Data scientist or machine learning specialist,9-11 years,3-5 years,I am actively looking for a job,Less than a year ago,1.0,4200,Python;R;SQL;Cobol,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Azure;Windows Desktop or Server,Hadoop;Spark,IPython / Jupyter;Notepad++;PyCharm;RStudio,Windows,2,Yes,Somewhat agree,9,Multiple times per day,Yes,Multiple times per day,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",,Yes
70095,No,No,South Korea,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Front-end developer;System administrator,9-11 years,,,,,,,,,,,,,,,10 (Very Likely),Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",,I'm not sure
70200,Yes,Yes,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Designer;Front-end developer;Full-stack developer,9-11 years,9-11 years,I am not interested in new job opportunities,Less than a year ago,4.0,168000,C#;Java;JavaScript;Python;Ruby;SQL;TypeScript;HTML;CSS,SQL Server;MySQL;PostgreSQL,,Node.js;React,Atom;IntelliJ;Visual Studio Code,Windows,3,Yes,Somewhat agree,10 (Very Likely),Daily or almost daily,Yes,A few times per week,Yes,"No, I have one but it's out of date",6,Yes
70485,No,No,China,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Information systems, information technology, or system administration",10 to 19 employees,Back-end developer,3-5 years,,,,,,C#;SQL,SQL Server;MySQL,,,Visual Studio;Visual Studio Code,Windows,2,Yes,Strongly agree,,,,,,,,
70568,No,Yes,China,No,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,100 to 499 employees,Front-end developer;Full-stack developer,6-8 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,,35000,JavaScript;PHP;Swift;HTML;CSS,MongoDB;MySQL,Android;AWS;iOS;Linux;Mac OS;Windows Desktop or Server;WordPress;Firebase,Angular;Node.js;React,Android Studio;Atom;Vim;Xcode,MacOS,2,No,Strongly agree,10 (Very Likely),Multiple times per day,Yes,A few times per month or weekly,Yes,"No, I have one but it's out of date",4,Yes
70594,Yes,Yes,Japan,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A business discipline (ex. accounting, finance, marketing)",100 to 499 employees,Back-end developer;Database administrator;Designer;Educator or academic researcher;Front-end developer;Full-stack developer;Mobile developer;QA or test developer;System administrator,15-17 years,9-11 years,I am actively looking for a job,Between 2 and 4 years ago,4.0,22000,JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,MySQL,Serverless,,Atom;Vim,MacOS,2,Yes,Strongly agree,10 (Very Likely),Multiple times per day,Yes,A few times per week,Yes,Yes,10 (Very Likely),Yes
70659,Yes,Yes,China,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;DevOps specialist;Full-stack developer;System administrator,12-14 years,3-5 years,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,5.0,450000,,,,Django;Node.js;TensorFlow,Atom;Sublime Text;Vim;Visual Studio;Visual Studio Code,Windows,3,Yes,Somewhat agree,9,Daily or almost daily,Yes,A few times per week,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",Yes,,Yes
70754,No,No,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Front-end developer;Mobile developer,12-14 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,5.0,4000,JavaScript;Objective-C;TypeScript;HTML;CSS,MySQL;Oracle,iOS,Cordova,Atom;Eclipse;Notepad++;Xcode,MacOS,2,No,Somewhat agree,10 (Very Likely),A few times per week,Yes,A few times per month or weekly,Yes,"No, I have one but it's out of date",7,Yes
70773,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",Fewer than 10 employees,Back-end developer;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,15-17 years,9-11 years,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,,,C#;JavaScript;SQL;HTML;CSS,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Windows Phone,,Notepad++;Visual Studio,Windows,2,Yes,Neither agree nor disagree,,,,,,,,
70784,Yes,Yes,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",DevOps specialist,9-11 years,6-8 years,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,4.0,132000,Go;Python;Ruby;Bash/Shell,MongoDB;Redis;MySQL;PostgreSQL;Amazon RDS/Aurora,AWS;Azure;Google Cloud Platform/App Engine;Linux;Mac OS;Serverless,Django;Spring,Atom;Eclipse;Emacs;Sublime Text;Vim,Windows,1,Yes,Strongly disagree,10 (Very Likely),Multiple times per day,Yes,Daily or almost daily,Yes,"No, I have one but it's out of date",10 (Very Likely),Yes
70792,Yes,Yes,China,No,Employed full-time,Associate degree,"Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Data or business analyst;DevOps specialist;Full-stack developer,3-5 years,0-2 years,I am actively looking for a job,Between 1 and 2 years ago,6.0,10000,Java;JavaScript;Lua;PHP;Python;SQL;Bash/Shell,Cassandra;MongoDB;Redis;MySQL;PostgreSQL,Android;Google Cloud Platform/App Engine;Linux;Mac OS,Node.js,Atom;Sublime Text;Vim,MacOS,2,Yes,Strongly agree,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",10 (Very Likely),Yes
70797,Yes,No,Singapore,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Full-stack developer,9-11 years,,,,,,,,,,,,,,,9,Daily or almost daily,Yes,A few times per month or weekly,Yes,"No, I have one but it's out of date",8,Yes
70902,Yes,Yes,Japan,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;DevOps specialist;Full-stack developer,3-5 years,3-5 years,I am actively looking for a job,Less than a year ago,9.0,,C;C++;Go;Java;JavaScript;PHP;Python;R;Ruby;SQL,MongoDB;Redis;MySQL;Elasticsearch,iOS,Spring,Atom;Eclipse;PHPStorm;Sublime Text;Vim;Visual Studio Code,MacOS,2,Yes,Strongly agree,8,Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, I know what it is but I don't have one",10 (Very Likely),Yes
